"filename", "language", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"/home/voron/Web/Work/Other/Сергей сайты/amanita/about.html", "HTML", 144, 0, 0, 0, 0, 3, 147
"/home/voron/Web/Work/Other/Сергей сайты/amanita/article.html", "HTML", 144, 0, 0, 0, 0, 3, 147
"/home/voron/Web/Work/Other/Сергей сайты/amanita/blog.html", "HTML", 144, 0, 0, 0, 0, 2, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/cart.html", "HTML", 144, 0, 0, 0, 0, 2, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/catalog.html", "HTML", 143, 0, 0, 0, 0, 3, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/contacts.html", "HTML", 144, 0, 0, 0, 0, 2, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/css/style.css", "CSS", 0, 0, 0, 406, 0, 4, 410
"/home/voron/Web/Work/Other/Сергей сайты/amanita/delivery.html", "HTML", 143, 0, 0, 0, 0, 3, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/index.html", "HTML", 143, 0, 0, 0, 0, 3, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/accordeon.js", "JavaScript", 0, 0, 11, 0, 0, 4, 15
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/catalog.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/main.js", "JavaScript", 0, 0, 15, 0, 0, 3, 18
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/product.js", "JavaScript", 0, 0, 39, 0, 1, 9, 49
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/slider.js", "JavaScript", 0, 0, 27, 0, 1, -1, 27
"/home/voron/Web/Work/Other/Сергей сайты/amanita/order.html", "HTML", 144, 0, 0, 0, 0, 2, 146
"/home/voron/Web/Work/Other/Сергей сайты/amanita/product.html", "HTML", 2970, 0, 0, 0, -2, 24, 2992
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_media.scss", "SCSS", 0, 333, 0, 0, 8, 13, 354
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/style.scss", "SCSS", 0, 102, 0, 0, 7, 7, 116
"Total", "-", 4263, 435, 91, 406, 15, 86, 5296
