"filename", "language", "SCSS", "HTML", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"/home/voron/Web/Work/Other/Сергей сайты/amanita/about.html", "HTML", 0, 975, 0, 0, 0, 0, 10, 985
"/home/voron/Web/Work/Other/Сергей сайты/amanita/article.html", "HTML", 0, 1188, 0, 0, 0, 0, 19, 1207
"/home/voron/Web/Work/Other/Сергей сайты/amanita/blog.html", "HTML", 0, 825, 0, 0, 0, 0, 7, 832
"/home/voron/Web/Work/Other/Сергей сайты/amanita/cart.html", "HTML", 0, 727, 0, 0, 0, 0, 14, 741
"/home/voron/Web/Work/Other/Сергей сайты/amanita/catalog.html", "HTML", 0, 2635, 0, 0, 0, 0, 30, 2665
"/home/voron/Web/Work/Other/Сергей сайты/amanita/contacts.html", "HTML", 0, 816, 0, 0, 0, 0, 11, 827
"/home/voron/Web/Work/Other/Сергей сайты/amanita/css/move-slider.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 38
"/home/voron/Web/Work/Other/Сергей сайты/amanita/css/style.css", "CSS", 0, 0, 0, 4876, 0, 0, 74, 4950
"/home/voron/Web/Work/Other/Сергей сайты/amanita/delivery.html", "HTML", 0, 803, 0, 0, 0, 0, 16, 819
"/home/voron/Web/Work/Other/Сергей сайты/amanita/index.html", "HTML", 0, 3536, 0, 0, 0, 0, 19, 3555
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/accordeon.js", "JavaScript", 0, 0, 0, 0, 20, 0, 6, 26
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/cart.js", "JavaScript", 0, 0, 0, 0, 122, 8, 29, 159
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/catalog.js", "JavaScript", 0, 0, 0, 0, 89, 0, 22, 111
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/main.js", "JavaScript", 0, 0, 0, 0, 61, 1, 17, 79
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/move-slider.js", "JavaScript", 0, 0, 0, 0, 77, 28, 10, 115
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/product.js", "JavaScript", 0, 0, 0, 0, 39, 1, 9, 49
"/home/voron/Web/Work/Other/Сергей сайты/amanita/js/slider.js", "JavaScript", 0, 0, 0, 0, 182, 31, 21, 234
"/home/voron/Web/Work/Other/Сергей сайты/amanita/order.html", "HTML", 0, 985, 0, 0, 0, 0, 15, 1000
"/home/voron/Web/Work/Other/Сергей сайты/amanita/product.html", "HTML", 0, 3640, 0, 0, 0, 0, 36, 3676
"/home/voron/Web/Work/Other/Сергей сайты/amanita/service.php", "PHP", 0, 0, 243, 0, 0, 20, 25, 288
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_media.scss", "SCSS", 1664, 0, 0, 0, 0, 26, 47, 1737
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_mixin.scss", "SCSS", 13, 0, 0, 0, 0, 1, 1, 15
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/_res.scss", "SCSS", 84, 0, 0, 0, 0, 0, 3, 87
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/move-slider.scss", "SCSS", 40, 0, 0, 0, 0, 1, 2, 43
"/home/voron/Web/Work/Other/Сергей сайты/amanita/source/style.scss", "SCSS", 3511, 0, 0, 0, 0, 38, 324, 3873
"Total", "-", 5312, 16130, 243, 4914, 590, 155, 767, 28111
